                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2972,                 1.0028,                 1.2639,                0.76578,                0.71866,                0.77832,                0.44821,                 1.3281,                  1.101,                 1.2419,               0.008911,               0.008911,               0.008911
                     35,                 1.2917,                0.97965,                 1.2596,                0.76985,                0.70445,                0.77462,                0.45089,                 1.3271,                 1.0716,                 1.2421,               0.008878,               0.008878,               0.008878
                     36,                 1.2951,                 0.9917,                 1.2587,                0.76218,                0.71834,                0.77636,                0.45044,                 1.3223,                 1.1109,                 1.2321,               0.008845,               0.008845,               0.008845
                     37,                 1.2921,                 0.9719,                  1.255,                 0.7645,                 0.7136,                0.77677,                0.45123,                 1.3259,                 1.1381,                 1.2358,               0.008812,               0.008812,               0.008812
                     38,                 1.2827,                0.97776,                 1.2518,                0.76784,                0.70871,                0.77256,                0.45069,                 1.3304,                 1.1408,                 1.2363,               0.008779,               0.008779,               0.008779
                     39,                 1.2677,                0.95647,                 1.2474,                0.78342,                 0.7061,                0.77976,                0.45465,                 1.3215,                 1.0574,                 1.2346,               0.008746,               0.008746,               0.008746
                     40,                 1.2818,                0.96524,                 1.2525,                0.77557,                0.71839,                0.78068,                0.45687,                 1.3123,                 1.0865,                 1.2263,               0.008713,               0.008713,               0.008713
                     41,                 1.2693,                 0.9524,                 1.2423,                0.78603,                0.71986,                0.78655,                0.45852,                 1.3164,                 1.1046,                 1.2279,                0.00868,                0.00868,                0.00868
                     42,                 1.2698,                0.94553,                 1.2391,                0.77342,                0.72524,                0.78552,                0.46103,                 1.3075,                 1.1375,                 1.2218,               0.008647,               0.008647,               0.008647
                     43,                 1.2687,                0.95359,                 1.2436,                0.77459,                0.72514,                0.78488,                0.46184,                 1.3073,                  1.106,                 1.2228,               0.008614,               0.008614,               0.008614
                     44,                 1.2616,                0.93115,                 1.2326,                0.77177,                0.72425,                0.78206,                0.45933,                 1.3145,                 1.0714,                 1.2314,               0.008581,               0.008581,               0.008581
                     45,                 1.2579,                  0.928,                  1.231,                0.77557,                0.72014,                 0.7824,                0.46033,                 1.3172,                 1.0288,                 1.2383,               0.008548,               0.008548,               0.008548
                     46,                 1.2551,                0.93254,                 1.2318,                0.77937,                0.72124,                0.78289,                0.46069,                 1.3169,                0.98396,                 1.2398,               0.008515,               0.008515,               0.008515
                     47,                  1.241,                0.91577,                 1.2292,                0.78328,                 0.7275,                0.78478,                0.46128,                 1.3143,                 0.9854,                 1.2358,               0.008482,               0.008482,               0.008482
                     48,                 1.2552,                 0.9277,                 1.2256,                0.77367,                0.72714,                0.78426,                0.46179,                 1.3123,                 1.0255,                 1.2309,               0.008449,               0.008449,               0.008449
                     49,                 1.2522,                0.91415,                 1.2221,                0.78271,                0.72289,                0.78572,                0.46409,                 1.3167,                 1.0493,                  1.234,               0.008416,               0.008416,               0.008416
                     50,                 1.2498,                0.91027,                 1.2256,                0.78978,                0.71474,                0.78734,                0.46346,                 1.3164,                 1.0542,                 1.2312,               0.008383,               0.008383,               0.008383
                     51,                 1.2317,                0.90345,                   1.22,                0.79178,                0.71867,                0.78797,                0.46486,                 1.3158,                 1.0447,                 1.2311,                0.00835,                0.00835,                0.00835
                     52,                 1.2311,                0.89131,                 1.2179,                0.78604,                0.72163,                0.78782,                0.46399,                 1.3146,                 1.0274,                 1.2323,               0.008317,               0.008317,               0.008317
                     53,                 1.2395,                0.89947,                  1.217,                0.78854,                0.71676,                0.78666,                0.46432,                 1.3101,                 1.0299,                 1.2299,               0.008284,               0.008284,               0.008284
                     54,                 1.2263,                0.88591,                 1.2079,                 0.7826,                0.72289,                0.78598,                0.46492,                 1.3142,                 1.0311,                 1.2324,               0.008251,               0.008251,               0.008251
                     55,                 1.2362,                 0.8869,                 1.2138,                0.78248,                0.72159,                0.78646,                0.46512,                 1.3149,                 1.0172,                 1.2317,               0.008218,               0.008218,               0.008218
                     56,                 1.2314,                0.87748,                 1.2082,                0.78946,                 0.7205,                0.78924,                0.46667,                 1.3155,                 1.0085,                 1.2317,               0.008185,               0.008185,               0.008185
                     57,                 1.2158,                0.88217,                 1.2069,                0.79161,                0.72063,                0.79001,                0.46644,                 1.3146,                 1.0083,                 1.2317,               0.008152,               0.008152,               0.008152
                     58,                 1.2189,                0.87457,                 1.2106,                0.79066,                0.72168,                0.78937,                0.46667,                 1.3159,                  1.003,                 1.2339,               0.008119,               0.008119,               0.008119
                     59,                 1.2081,                0.87068,                 1.2025,                0.79002,                0.72047,                0.78907,                0.46686,                  1.316,                 1.0041,                  1.235,               0.008086,               0.008086,               0.008086
                     60,                 1.2036,                0.85121,                 1.1965,                0.78787,                0.72097,                0.78991,                0.46675,                  1.317,                0.99661,                 1.2365,               0.008053,               0.008053,               0.008053
                     61,                 1.2151,                0.87041,                 1.1945,                0.78618,                0.72214,                0.78918,                0.46676,                 1.3181,                0.99463,                 1.2393,                0.00802,                0.00802,                0.00802
                     62,                 1.1978,                0.85711,                 1.1932,                0.78559,                0.72346,                0.78926,                0.46657,                 1.3166,                0.99485,                 1.2391,               0.007987,               0.007987,               0.007987
                     63,                 1.1898,                0.83993,                 1.1898,                0.79061,                0.72172,                0.78993,                0.46678,                 1.3164,                0.99317,                 1.2401,               0.007954,               0.007954,               0.007954
                     64,                 1.1868,                0.83773,                 1.1864,                0.78777,                0.72188,                0.79009,                0.46686,                 1.3159,                0.99297,                 1.2394,               0.007921,               0.007921,               0.007921
                     65,                 1.1894,                0.83276,                 1.1926,                0.78717,                0.72232,                0.79024,                0.46773,                  1.316,                 0.9932,                 1.2401,               0.007888,               0.007888,               0.007888
                     66,                  1.201,                0.83434,                 1.1965,                0.78815,                0.72297,                0.78956,                0.46825,                  1.316,                0.99214,                 1.2412,               0.007855,               0.007855,               0.007855
                     67,                 1.1976,                0.84595,                 1.1964,                0.78841,                0.72328,                0.78919,                0.46804,                 1.3156,                 0.9928,                 1.2418,               0.007822,               0.007822,               0.007822
                     68,                 1.1869,                0.82372,                 1.1854,                0.78656,                0.72616,                0.78924,                0.46797,                 1.3153,                 0.9903,                 1.2419,               0.007789,               0.007789,               0.007789
                     69,                 1.1814,                0.82654,                 1.1839,                0.78099,                0.73007,                0.78975,                0.46835,                 1.3157,                 0.9849,                  1.243,               0.007756,               0.007756,               0.007756
                     70,                 1.1792,                0.82389,                 1.1888,                 0.7779,                0.73437,                0.79014,                 0.4682,                 1.3152,                0.98398,                 1.2428,               0.007723,               0.007723,               0.007723
                     71,                 1.1782,                0.81481,                 1.1791,                0.78162,                0.73033,                0.79045,                0.46854,                 1.3144,                0.98341,                 1.2425,                0.00769,                0.00769,                0.00769
                     72,                 1.1755,                0.82136,                 1.1761,                0.77863,                0.73111,                0.79034,                0.46932,                  1.314,                0.98272,                 1.2425,               0.007657,               0.007657,               0.007657
                     73,                 1.1723,                0.80898,                 1.1737,                0.77433,                0.73272,                0.79078,                0.46925,                 1.3137,                0.98344,                 1.2418,               0.007624,               0.007624,               0.007624
                     74,                 1.1707,                0.80808,                 1.1777,                0.77872,                0.73144,                0.79034,                0.46927,                 1.3143,                 0.9842,                  1.242,               0.007591,               0.007591,               0.007591
                     75,                 1.1745,                0.80345,                 1.1804,                0.77605,                0.73424,                 0.7907,                0.46892,                 1.3144,                0.98381,                 1.2419,               0.007558,               0.007558,               0.007558
